Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,331616,"Digital Markiting","Main framework for computer networks and cybersecurity competencies",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,1,competency
,DM-K,Knowledge,"Knowledge-related competencies",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
DM-K,DM-K-TU,"Theoretical Understanding","Understanding of theories, concepts, and principles",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
DM-K-TU,DM-K-TU-K1,K1,"لتعريف بالمفاهيم الاساسية الخاصة بمفهوم التسويق المعاصرة",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
DM-K-TU,DM-K-TU-K2,K2,"التعرف على أحدث المعرف النظرية في مجالات التسويق المختلفة",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
DM-K,DM-K-PA,"Practical Application",,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
DM-K-TU,DM-K-TU-K3,K3,"تحليل البيانات والمعلومات المتعلقة بالمشاكل التسويقية",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
,DM-S,Skills,,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
DM-S,DM-S-GPS,"Generic Problem Solving","Generic problem solving and analytical skills",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
DM-S-GPS,DM-S-GPS-S1,S1,"تعريف الطالب كيفية تطبيق المزيج التسويقي في بيئة الاعمال",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
DM-S-GPS,DM-S-GPS-S2,S2,"تطبيق ادوات تكنولوجيا المعلومات في الوصول للشرائح المختلفة من الزبائن وخدمتهم",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
DM-S-GPS,DM-S-GPS-S3,S3,"بناء المهارات لدى الطلبة في الممارسات المهنية التطبيقية من خلال بناء الشراكات مع مؤسسات المجتمع المدني",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
DM-S,DM-S-CS,"Communication Skills",,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
,DM-C,Competence,,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
DM-C,DM-C-ARC,"Autonomy & Responsibility","Autonomy, responsibility, and context",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
DM-C-ARC,DM-C-ARC-C1,C1,"تبني الاتجاهات والسلوكيات الاخلاقية في الممارسات التسويقية.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
DM-C-ARC,DM-C-ARC-C2,C2,"ربط ممارسات التسويق العالمية  بالسياق المحلي",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
DM-C-ARC,DM-C-ARC-C3,C3,"اظهار القدرة على العمل الجماعي لتسهيل عملية اتخاذ القرارات التسويقية.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
