Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,331313,"Financial  Technology","Main framework for computer networks and cybersecurity competencies",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,1,competency
,FT-K,Knowledge,"Knowledge-related competencies",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
FT-K,FT-K-TU,"Theoretical Understanding","Understanding of theories, concepts, and principles",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
FT-K-TU,FT-K-TU-K1,K1,"يذكر الطالب المفاهيم والمبادئ و النظريات الاساسية في العلوم المالية و المصرفية.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
FT-K-TU,FT-K-TU-K2,K2,"يصف الطالب الوظائف الرئيسية التي تقوم بها البنوك و المؤسسات المالية الاخرى.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
FT-K,FT-K-PA,"Practical Application",,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
FT-K-TU,FT-K-TU-K3,K3,"يعدد الطالب المبادئ الاساسية للاستثمار ونظرياته و سلوك المستثمر و المخاطر المالية.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
FT-K-TU,FT-K-TU-K4,K4,"و يعرف البيئة المالية الدولية  التي تقوم بها البنوك و المؤسسات المالية الاخرى",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
FT-K-TU,FT-K-TU-K5,K5,"يطبق الطالب الية عمل الاسواق المالية وكيفية تداول الاوراق المالية بها  و الية عمل البنوك و المؤسسات المالية",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
,FT-S,Skills,,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
FT-S,FT-S-GPS,"Generic Problem Solving","Generic problem solving and analytical skills",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
FT-S-GPS,FT-S-GPS-S1,S1,"يميز الطالب بين التفكير العلمي والنقد الإبداعي، واستثمارها في الحياة الشخصية و العملية",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
FT-S-GPS,FT-S-GPS-S2,S2,"يحلل الطالب القوائم المالية بأنواعها و الوضع المالي و المستقبلي للمنظمات",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
FT-S-GPS,FT-S-GPS-S3,S3,"يتقن الطالب لمهارات الاتصال و التواصل ياللغتين العربية و الانجليزية في حقل العلوم المالية و المصرفية يقيم الطالب مصادر واستخدامات الاموال والتخطيط المالي، واتخاذ القرار المالي",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
FT-S-GPS,FT-S-GPS-S4,S4,"يكتسب الطالب المهارات التي تتعلق بتكنولوجيا المعلومات و الانترنت و خدماتها المختلفة في مجال العلوم المالية و المصرفية",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
FT-S,FT-S-CS,"Communication Skills",,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
,FT-C,Competence,,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
FT-C,FT-C-ARC,"Autonomy & Responsibility","Autonomy, responsibility, and context",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
FT-C-ARC,FT-C-ARC-C1,C1,"يصمم الطالب نظام متكامل لتلبية احتياجات المجتمع المالية ضمن اطر محددة منها اقتصادية، وبيئية، واجتماعية، وسياسية، واخلاقية، وصحية",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
FT-C-ARC,FT-C-ARC-C2,C2,"يكتسب الطالب فن الحوار والاتصال والقيادة في مجال العمل المالي و المصرفي ضمن فريق جماعي",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
