Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,3311,"Accounting Department","Main framework for computer networks and cybersecurity competencies",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,1,competency
,AC-K,Knowledge,"Knowledge-related competencies",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
AC-K,AC-K-TU,"Theoretical Understanding","Understanding of theories, concepts, and principles",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
AC-K-TU,AC-K-TU-K1,K1,"استرجاع المعلومات المحاسبية وغير المحاسبية لتطبيقها من خلال المحاسبة والتدقيق",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
AC-K-TU,AC-K-TU-K2,K2,"شرح النظريات المحاسبية ذات العلاقة واليات إعدادها",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
AC-K,AC-K-PA,"Practical Application",,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
AC-K-TU,AC-K-TU-K3,K3,"تطبيق المعلومات المالية وغير المالية وفقا للمعايير الدولية للتقارير المالية",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
AC-K-TU,AC-K-TU-K4,K4,"استخدام معايير التدقيق الدولية في تطبيق العمليات المحاسبية",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
AC-K-TU,AC-K-TU-K5,K5,"حل المشكلات المحاسبية وفقاً لمعايير المحاسبة ذات العلاقة",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
,AC-S,Skills,,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
AC-S,AC-S-GPS,"Generic Problem Solving","Generic problem solving and analytical skills",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
AC-S-GPS,AC-S-GPS-S1,S1,"تحليل واظهار مهارات البحث العلمي والتفكير الناقد وتفسير المعلومات المحاسبية والادارية",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
AC-S-GPS,AC-S-GPS-S2,S2,"حل المشكلات المحاسبية وفقاً لمعايير المحاسبة ذات العلاقة",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
AC-S-GPS,AC-S-GPS-S3,S3,"القدرة على استخدام الحواسيب وتكنلوجيا المعلومات في التواصل مع الادارة والاطراف الاخرى.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
AC-S-GPS,AC-S-GPS-S4,S4,"القدرة على استخدام التطبيقات المحاسبية في اعداد القوائم المالية",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
AC-S,AC-S-CS,"Communication Skills",,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
,AC-C,Competence,,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
AC-C,AC-C-ARC,"Autonomy & Responsibility","Autonomy, responsibility, and context",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
AC-C-ARC,AC-C-ARC-C1,C1,"اظهار الوعي بأخلاقيات المهنة والقوانين في اعداد القوائم المالية.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
AC-C-ARC,AC-C-ARC-C2,C2,"اظهار الوعي بتشريعات مهنة المحاسبة والتدقيق في اتخاذ القرارات والتعامل مع الفريق.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
