Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,331212,"Business Information Technology","Main framework for computer networks and cybersecurity competencies",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,1,competency
,IT-K,Knowledge,"Knowledge-related competencies",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
IT-K,IT-K-TU,"Theoretical Understanding","Understanding of theories, concepts, and principles",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
IT-K-TU,IT-K-TU-K1,K1,"تعريف المفاهيم الاساسية الخاصة بمفهوم تكنولوجيا معلومات الأعمال.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
IT-K-TU,IT-K-TU-K2,K2,"توضيح أحدث المعارف النظرية في مجالات تكنولوجيا معلومات الأعمال المختلفة.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
IT-K,IT-K-PA,"Practical Application",,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
IT-K-TU,IT-K-TU-K3,K3,"تطبيق أدوات تكنولوجيا المعلومات في حل المشكلات الإدارية وأتمتة أعمال المنظمات.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
IT-K-TU,IT-K-TU-K4,K4,"استخدام أحدث الاتجاهات التكنولوجية الحالية وتحديد تطبيقاتها في عمليات الاعمال.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
,IT-S,Skills,,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
IT-S,IT-S-GPS,"Generic Problem Solving","Generic problem solving and analytical skills",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
IT-S-GPS,IT-S-GPS-S1,S1,"تحليل وتصميم وتنفيذ نظم المعلومات لتطوير الأعمال.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
IT-S-GPS,IT-S-GPS-S2,S2,"استخدام المهارات الإدارية اللازمة للتخطيط في تكنولوجيا معلومات الأعمال للمنظمات.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
IT-S-GPS,IT-S-GPS-S3,S3,"اختيار الأساليب والتقنيات المناسبة في تحليل وتصميم وتنفيذ نظم المعلومات لتطوير الأعمال.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
IT-S-GPS,IT-S-GPS-S4,S4,"تحديد الأدوات المستخدمة في الاتصالات وشبكات الأعمال وعناصر الأمان الخاصة بأنظمة المعلومات.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
IT-S,IT-S-CS,"Communication Skills",,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
,IT-C,Competence,,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
IT-C,IT-C-ARC,"Autonomy & Responsibility","Autonomy, responsibility, and context",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
IT-C-ARC,IT-C-ARC-C1,C1,"تقييم نظام أو برنامج أو عملية قائمة على الحاسوب لمعالجة متطلبات الاعمال ومستخدميها.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
IT-C-ARC,IT-C-ARC-C2,C2,"تقدير المسؤوليات والقضايا القانونية والأخلاقية والأمنية والاجتماعية والمهنية المتعلقة بتكنولوجيا معلومات الاعمال.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
IT-C-ARC,IT-C-ARC-C3,C3,"التواصل بشكل فعال في بيئة العمل الذكية التي تعتمد على الابداع والابتكار والعمل الجماعي ضمن فريق.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
