Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,3399,"Department of business intelligenc","Main framework for computer networks and cybersecurity competencies",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,1,competency
,BI-K,Knowledge,"Knowledge-related competencies",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
BI-K,BI-K-TU,"Theoretical Understanding","Understanding of theories, concepts, and principles",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
BI-K-TU,BI-K-TU-K1,K1,"تطبيق أدوات ذكاء الاعمال  في حل المشكلات  وأتمتة أعمال المنظمات.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
BI-K-TU,BI-K-TU-K2,K2,"فهم شاملة لمفاهيم ذكاء الاعمال الحديثة, وأهمية ذكاء الأعمال في ظل التغيرات السريعه في بيئة الاعمال",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
BI-K,BI-K-PA,"Practical Application",,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
BI-K-TU,BI-K-TU-K3,K3,"تحليل وتصميم البنية الاساسية لتكنولوجية المعلومات التي تساهم في تطبيق أنظمة ذكاء الاعمال في المنظمات الادارية الحديثة.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
BI-K-TU,BI-K-TU-K4,K4,"استخدام أحدث الاتجاهات التكنولوجية الحالية وتحديد تطبيقاتها في عمليات الاعمال.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
,BI-S,Skills,,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
BI-S,BI-S-GPS,"Generic Problem Solving","Generic problem solving and analytical skills",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
BI-S-GPS,BI-S-GPS-S1,S1,"تحليل وتصميم وتنفيذ تكنولوجيا المعلومات لتطوير الأعمال.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
BI-S-GPS,BI-S-GPS-S2,S2,"استخدام المهارات الإدارية اللازمة للتخطيط في تكنولوجيا معلومات الأعمال للمنظمات.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
BI-S-GPS,BI-S-GPS-S3,S3,"اختيار الأساليب والتقنيات المناسبة في تحليل وتصميم وتنفيذ نظم المعلومات لتطوير الأعمال.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
BI-S-GPS,BI-S-GPS-S4,S4,"تطوير انظمة دعم  القرار التشاركية مع تحليل البيانات الضخمة وتطوير التطبيقات الذكية واستخدامها في منظمات الاعمال",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
BI-S,BI-S-CS,"Communication Skills",,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
,BI-C,Competence,,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
BI-C,BI-C-ARC,"Autonomy & Responsibility","Autonomy, responsibility, and context",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
BI-C-ARC,BI-C-ARC-C1,C1,"تطبيق النظريات والمفاهيم والوظائف الاساسية في ادارة الاعمال في القطاع العام والخاص",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
BI-C-ARC,BI-C-ARC-C2,C2,"تقدير المسؤوليات والقضايا القانونية والأخلاقية والأمنية والاجتماعية والمهنية المتعلقة بذكاء الاعمال و تحليل البيانات.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
BI-C-ARC,BI-C-ARC-C3,C3,"التواصل بشكل فعال في بيئة العمل الذكية التي تعتمد على الابداع والابتكار والعمل الجماعي ضمن فريق.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
