Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,3366,"Department of Customs and Tax","Main framework for computer networks and cybersecurity competencies",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,1,competency
,CT-K,Knowledge,"Knowledge-related competencies",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
CT-K,CT-K-TU,"Theoretical Understanding","Understanding of theories, concepts, and principles",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
CT-K-TU,CT-K-TU-K1,K1,"يذكر الطالب المفاهيم والمبادئ والنظريات الساسية في العلوم الجمركية ويعرف بيئة العمل الجمركي.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
CT-K-TU,CT-K-TU-K2,K2,"يصف الطالب الوظائف الرئيسية التي تقوم بها الجمارك الأردنية وضريبة الدخل والمبيعات.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
CT-K,CT-K-PA,"Practical Application",,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
CT-K-TU,CT-K-TU-K3,K3,"يعدد الطالب المبادئ الأساسية للعمل الجمركي ، وسلوك الشركاء في العمل الجمركي ، ومخاطر العمل الجمركي",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
CT-K-TU,CT-K-TU-K4,K4,"يطبق الطالب آلية عمل الجمارك وكيفية تطبيق الاجراءات الجمركية بشكل موحد في كافة المراكز الجمركية.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
,CT-S,Skills,,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
CT-S,CT-S-GPS,"Generic Problem Solving","Generic problem solving and analytical skills",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
CT-S-GPS,CT-S-GPS-S1,S1,"يميز الطالب بين التفكير العلمي والنقد الابداعي في العمل الجمركي والضريبي، واستثمارها بالحياة العامة  والعملية.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
CT-S-GPS,CT-S-GPS-S2,S2,"يقيم الطالب مصادر تحديد القيمة الجمركية ، واتخاذ القرار المناسب عند تسريب البيان الجمركي.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
CT-S-GPS,CT-S-GPS-S3,S3,"يحلل الطالب البيانات الجمركية بانواعها، والأوضاع الجمركية المختلفة.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
CT-S,CT-S-CS,"Communication Skills",,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
CT-S-GPS,CT-S-GPS-S4,S4,"يتقن الطالب استخدام وسائل التكنولوجيا المتاحة لأغراض العمل، واتقان مهارات الاتصال والتواصل باللغتين العربية والانجليزية في مجال العمل الجمركي والضريبي.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
CT-S-GPS,CT-S-GPS-S5,S5,"يكتسب الطالب المهارات المتعلقة بمتطلبات حقوق الملكية الفكرية، وتراخيص الاستيراد و التصدير.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
,CT-C,Competence,,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
CT-C,CT-C-ARC,"Autonomy & Responsibility","Autonomy, responsibility, and context",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
CT-C-ARC,CT-C-ARC-C1,C1,"يصمم الطالب نظام متكامل لتلبية احتياجات المجتمع من العلوم الجمركية ضمن اطر محددة منها اقتصادية وبيئية واجتماعية وسياسية واخلاقية وصحية.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
CT-C-ARC,CT-C-ARC-C2,C2,"يكتسب الطالب فن الحوار والاتصال والتواصل والقيادة في مجال العمل الجمركي ضمن فريق جماعي.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
